0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:45 +0200] "GET /api/issues/search?componentKeys=graphe&s=FILE_LINE&&files=src%2Fgraphe%2FGraphe.java&resolved=false&types=CODE_SMELL&ps=100&facets=owaspTop10%2CsansTop25%2Cseverities%2CsonarsourceSecurity%2Ctypes&additionalFields=_all&timeZone=Europe%2FParis HTTP/1.1" 200 - "http://localhost:9000/project/issues?files=src%2Fgraphe%2FGraphe.java&id=graphe&resolved=false&types=CODE_SMELL" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQu"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:50 +0200] "GET /api/issues/search?componentKeys=graphe&s=FILE_LINE&&files=src%2Fgraphe%2FGraphe.java&resolved=false&types=CODE_SMELL&ps=1&facets=files&additionalFields=_all&timeZone=Europe%2FParis HTTP/1.1" 200 - "http://localhost:9000/project/issues?files=src%2Fgraphe%2FGraphe.java&id=graphe&resolved=false&types=CODE_SMELL" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQv"
127.0.0.1 - - [06/oct./2021:10:50:21 +0200] "GET /batch/index HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQw"
127.0.0.1 - - [06/oct./2021:10:50:21 +0200] "GET /api/settings/values.protobuf HTTP/1.1" 200 4761 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQx"
127.0.0.1 - - [06/oct./2021:10:50:21 +0200] "GET /api/plugins/installed HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQy"
127.0.0.1 - - [06/oct./2021:10:50:22 +0200] "GET /api/settings/values.protobuf?component=graphe HTTP/1.1" 200 4767 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQz"
127.0.0.1 - - [06/oct./2021:10:50:22 +0200] "GET /api/qualityprofiles/search.protobuf?project=graphe HTTP/1.1" 200 1588 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQ0"
127.0.0.1 - - [06/oct./2021:10:50:22 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1ZB5xwST75WQogI&ps=500&p=1 HTTP/1.1" 200 6579 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQ1"
127.0.0.1 - - [06/oct./2021:10:50:22 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1Z35xwST75WQohl&ps=500&p=1 HTTP/1.1" 200 7859 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQ2"
127.0.0.1 - - [06/oct./2021:10:50:22 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1ad5xwST75WQoiF&ps=500&p=1 HTTP/1.1" 200 11 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQ3"
127.0.0.1 - - [06/oct./2021:10:50:22 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1aj5xwST75WQojA&ps=500&p=1 HTTP/1.1" 200 6195 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQ4"
127.0.0.1 - - [06/oct./2021:10:50:22 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1bI5xwST75WQolf&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQ5"
127.0.0.1 - - [06/oct./2021:10:50:22 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1cN5xwST75WQosT&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQ6"
